Date,Open,High,Low,Close,Volume,Sector,Ticker,Company,Return,Month,Year,Quarter
2023-07-07,810.3317601084606,815.1986175265295,806.0976179186929,808.093017578125,19926336,Banking,HDFCBANK.NS,HDFCBANK,-0.8716,2023-07,2023,2023Q3
2023-07-10,808.3850372058562,816.0503378295722,802.8854644229833,806.1705932617188,38398442,Banking,HDFCBANK.NS,HDFCBANK,-0.2379,2023-07,2023,2023Q3
2023-07-11,809.3583461576029,815.6852604691176,800.8413461228718,802.2527465820312,50670426,Banking,HDFCBANK.NS,HDFCBANK,-0.486,2023-07,2023,2023Q3
2023-07-12,805.6352319869237,810.9644765133695,791.9107178120092,794.7334594726562,70958358,Banking,HDFCBANK.NS,HDFCBANK,-0.9373,2023-07,2023,2023Q3
2023-07-13,806.2922367876993,806.6572510904781,797.2155953198356,798.699951171875,41913546,Banking,HDFCBANK.NS,HDFCBANK,0.4991,2023-07,2023,2023Q3
2023-07-14,804.7835035114284,804.7835035114284,795.7311609024043,800.3546752929688,24727214,Banking,HDFCBANK.NS,HDFCBANK,0.2072,2023-07,2023,2023Q3
2023-07-17,803.0314502823962,818.6053935606003,794.7577929158504,817.0966796875,49252928,Banking,HDFCBANK.NS,HDFCBANK,2.0918,2023-07,2023,2023Q3
2023-07-18,826.3923403152943,829.3124545920268,812.7651403572094,816.415283203125,81076818,Banking,HDFCBANK.NS,HDFCBANK,-0.0834,2023-07,2023,2023Q3
2023-07-19,818.1673927652148,821.8905505906512,815.1986216073076,820.1141357421875,32935134,Banking,HDFCBANK.NS,HDFCBANK,0.4531,2023-07,2023,2023Q3
2023-07-20,818.1917641303833,823.4722926593728,817.6320636334198,821.8905639648438,56210948,Banking,HDFCBANK.NS,HDFCBANK,0.2166,2023-07,2023,2023Q3
2023-07-21,817.6320129512904,822.4015567907909,814.3468843278255,815.5635986328125,42154248,Banking,HDFCBANK.NS,HDFCBANK,-0.7698,2023-07,2023,2023Q3
2023-07-24,816.9019892100436,819.8951183000274,812.813817239081,816.8533325195312,32179444,Banking,HDFCBANK.NS,HDFCBANK,0.1581,2023-07,2023,2023Q3
2023-07-25,819.8951278192749,826.879056170404,816.8533420034627,825.7109985351562,55992596,Banking,HDFCBANK.NS,HDFCBANK,1.0844,2023-07,2023,2023Q3
2023-07-26,827.1710534459679,827.1710534459679,821.5255108693627,822.8395385742188,24794358,Banking,HDFCBANK.NS,HDFCBANK,-0.3478,2023-07,2023,2023Q3
2023-07-27,827.3170606790924,828.8257745170246,811.5240735457453,814.2982177734375,59741302,Banking,HDFCBANK.NS,HDFCBANK,-1.038,2023-07,2023,2023Q3
2023-07-28,808.6283856221597,812.2298721075693,798.6999842928814,799.8680419921875,41015684,Banking,HDFCBANK.NS,HDFCBANK,-1.7721,2023-07,2023,2023Q3
2023-07-31,803.0558374366854,806.3409662159895,797.5319067020986,803.615478515625,34565006,Banking,HDFCBANK.NS,HDFCBANK,0.4685,2023-07,2023,2023Q3
2023-08-01,805.1972354940766,811.5241504025686,803.0315076162769,808.993408203125,35394188,Banking,HDFCBANK.NS,HDFCBANK,0.6692,2023-08,2023,2023Q3
2023-08-02,799.1379875966741,803.7615021412346,794.830830666086,798.407958984375,28116322,Banking,HDFCBANK.NS,HDFCBANK,-1.3085,2023-08,2023,2023Q3
2023-08-03,798.1646183703506,803.6884896703888,789.8909607409018,792.6407470703125,57673946,Banking,HDFCBANK.NS,HDFCBANK,-0.7223,2023-08,2023,2023Q3
2023-08-04,795.8042164551875,806.1949453417267,792.9327586465489,804.1021728515625,37388304,Banking,HDFCBANK.NS,HDFCBANK,1.446,2023-08,2023,2023Q3
2023-08-07,809.4070457041624,809.4070457041624,801.8391180613743,803.6398315429688,28300918,Banking,HDFCBANK.NS,HDFCBANK,-0.0575,2023-08,2023,2023Q3
2023-08-08,803.8588478451442,805.7569341954113,799.1623777784342,802.9828491210938,43773828,Banking,HDFCBANK.NS,HDFCBANK,-0.0818,2023-08,2023,2023Q3
2023-08-09,804.4914945725491,805.221523152016,793.8330654303563,803.2747802734375,33361236,Banking,HDFCBANK.NS,HDFCBANK,0.0364,2023-08,2023,2023Q3
2023-08-10,801.5957522263969,805.099865704745,793.7844225264857,796.1448364257812,50781118,Banking,HDFCBANK.NS,HDFCBANK,-0.8876,2023-08,2023,2023Q3
2023-08-11,797.3859527425766,797.3859527425766,786.5814933374278,787.846923828125,28225822,Banking,HDFCBANK.NS,HDFCBANK,-1.0423,2023-08,2023,2023Q3
2023-08-14,784.0507318876311,785.9974748594191,778.8188601509507,784.0020751953125,31304410,Banking,HDFCBANK.NS,HDFCBANK,-0.488,2023-08,2023,2023Q3
2023-08-16,770.4721710730195,783.3937010320665,769.5961724006356,781.714599609375,34137542,Banking,HDFCBANK.NS,HDFCBANK,-0.2918,2023-08,2023,2023Q3
2023-08-17,777.529087744607,783.5153458133944,775.7770310495571,777.3831176757812,52884040,Banking,HDFCBANK.NS,HDFCBANK,-0.5541,2023-08,2023,2023Q3
2023-08-18,772.6379419530916,776.8964420218484,771.6402124587459,774.1953125,25633366,Banking,HDFCBANK.NS,HDFCBANK,-0.4101,2023-08,2023,2023Q3
2023-08-21,778.9405181779168,778.9405181779168,772.3702607612333,773.5869750976562,21837270,Banking,HDFCBANK.NS,HDFCBANK,-0.0786,2023-08,2023,2023Q3
